                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.8547,                 2.3382,                 1.6351,                 1.5378,                0.00474,                0.27273,                0.00275,                0.00144,                0.00474,                0.27273,                0.00312,                0.00121,                 2.7247,                 11.257,                    inf,                 3.2999,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.6894,                 2.3291,                 1.6215,                 1.5769,                0.00133,                0.09091,                0.00073,                0.00033,                0.00133,                0.09091,                0.00073,                0.00025,                 2.8229,                 7.3284,                    inf,                 3.0801,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.6391,                  2.569,                 1.3512,                  1.399,                0.00981,                0.27273,                0.00729,                0.00239,                0.01176,                0.09091,                0.00537,                0.00178,                 3.3218,                 6.8707,                 99.532,                 4.2073,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.6699,                 2.3605,                 1.4005,                 1.3827,                0.00333,                0.22727,                0.00247,                0.00085,                0.00333,                0.13636,                0.00207,                0.00056,                 3.8103,                 26.654,                 218.14,                  6.252,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.6003,                 2.2972,                 1.2672,                 1.3852,                0.00333,                0.22727,                0.00247,                0.00085,                0.00333,                0.13636,                0.00207,                0.00056,                 3.8103,                 26.654,                 218.14,                  6.252,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.6774,                 2.3023,                 1.1756,                 1.4175,                0.00268,                0.18182,                0.00161,                0.00043,                0.00134,                0.09091,                0.00073,                0.00018,                 3.2751,                 113.95,                    inf,                 9.2926,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.6829,                 2.4112,                  1.323,                 1.5001,                0.00337,                0.22727,                0.00225,                0.00092,                0.00202,                0.13636,                0.00118,                 0.0003,                 3.5304,                 20.164,                    inf,                 9.0988,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.6996,                 2.3216,                 1.2153,                  1.606,                0.00337,                0.22727,                0.00225,                0.00092,                0.00202,                0.13636,                0.00118,                 0.0003,                 3.5304,                 20.164,                    inf,                 9.0988,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.6646,                 2.4664,                 1.3807,                 1.6573,                0.00429,                0.27273,                0.00345,                0.00098,                0.00133,                0.09091,                0.00073,                0.00014,                 3.3119,                 8.9377,                 465.65,                 5.0224,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.6044,                 2.2075,                 1.2727,                 1.3129,                0.01429,                0.22727,                 0.0063,                0.00225,                0.00857,                0.13636,                0.00226,                 0.0005,                 3.0557,                 9.7098,                 262.13,                 4.3781,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.6515,                 2.4173,                 1.2822,                 1.3966,                0.01429,                0.22727,                 0.0063,                0.00225,                0.00857,                0.13636,                0.00226,                 0.0005,                 3.0557,                 9.7098,                 262.13,                 4.3781,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.7098,                 2.3281,                 1.2905,                 1.3669,                0.00351,                0.18182,                0.00178,                0.00051,                0.00069,                0.04545,                0.00035,                  4e-05,                 3.3666,                  18.85,                 139.68,                 4.0634,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.5282,                 2.6846,                 1.3857,                 1.4734,                  0.004,                0.27273,                0.00255,                 0.0008,                0.00072,                0.04545,                0.00035,                  4e-05,                  3.825,                 87.746,                 572.51,                 6.7238,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.5723,                 2.1613,                 1.2442,                 1.3761,                  0.004,                0.27273,                0.00255,                 0.0008,                0.00072,                0.04545,                0.00035,                  4e-05,                  3.825,                 87.746,                 572.51,                 6.7238,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.5682,                 2.3047,                 1.1714,                 1.4217,                0.00463,                0.27273,                0.00278,                0.00086,                0.00208,                0.13636,                0.00116,                0.00027,                 3.2644,                 196.07,                 509.22,                  6.675,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.6557,                 2.4057,                 1.2453,                 1.4911,                0.02238,                0.22727,                0.01524,                0.00639,                0.02632,                0.04545,                0.01069,                  0.003,                 2.6174,                 24.722,                 74.467,                 3.1078,             0.00096065,             0.00096065,             0.00096065
